A0,0,,A0,32,,A0,64,,A0,96,,A0,128
A1,1,,A1,33,,A1,65,,A1,97,,A1,129
A2,2,,A2,34,,A2,66,,A2,98,,A2,130
A3,3,,A3,35,,A3,67,,A3,99,,A3,131
A4,4,,A4,36,,A4,68,,A4,100,,A4,132
A5,5,,A5,37,,A5,69,,A5,101,,A5,133
A6,6,,A6,38,,A6,70,,A6,102,,A6,134
A7,7,,A7,39,,A7,71,,A7,103,,A7,135
B0,8,,B0,40,,B0,72,,B0,104,,B0,136
B1,9,,B1,41,,B1,73,,B1,105,,B1,137
B2,10,,B2,42,,B2,74,,B2,106,,B2,138
B3,11,,B3,43,,B3,75,,B3,107,,B3,139
B4,12,,B4,44,,B4,76,,B4,108,,B4,140
B5,13,,B5,45,,B5,77,,B5,109,,B5,141
B6,14,,B6,46,,B6,78,,B6,110,,B6,142
B7,15,,B7,47,,B7,79,,B7,111,,B7,143
C0,16,,C0,48,,C0,80,,C0,112,,C0,144
C1,17,,C1,49,,C1,81,,C1,113,,C1,145
C2,18,,C2,50,,C2,82,,C2,114,,C2,146
C3,19,,C3,51,,C3,83,,C3,115,,C3,147
C4,20,,C4,52,,C4,84,,C4,116,,C4,148
C5,21,,C5,53,,C5,85,,C5,117,,C5,149
C6,22,,C6,54,,C6,86,,C6,118,,C6,150
C7,23,,C7,55,,C7,87,,C7,119,,C7,151
D0,24,,D0,56,,D0,88,,D0,120,,D0,152
D1,25,,D1,57,,D1,89,,D1,121,,D1,153
D2,26,,D2,58,,D2,90,,D2,122,,D2,154
D3,27,,D3,59,,D3,91,,D3,123,,D3,155
D4,28,,D4,60,,D4,92,,D4,124,,D4,156
D5,29,,D5,61,,D5,93,,D5,125,,D5,157
D6,30,,D6,62,,D6,94,,D6,126,,D6,158
D7,31,,D7,63,,D7,95,,D7,127,,D7,159
